Airfoil,Efficiency
e560.dat,53.0220
e585.dat,52.9787
e546.dat,52.8924
e580.dat,52.8924
e818.dat,52.8494
e433.dat,52.8064
e342.dat,52.6353
e343.dat,52.5926
e668.dat,52.5926
e344.dat,52.5076
e582.dat,52.5076
e431.dat,52.2962
e837.dat,52.1702
e403.dat,52.1283
e554.dat,52.1283
e432.dat,52.0448
e642.dat,51.9615
e561.dat,51.9200
e476.dat,51.8785
e552.dat,51.6311
e545.dat,51.5901
e548.dat,51.5491
e553.dat,51.5491
e550.dat,51.5083
e502.dat,51.3860
e435.dat,51.2239
e551.dat,51.1835
e547.dat,51.1432
e549.dat,51.0628
e544.dat,50.7834
e543.dat,50.5462
e542.dat,50.3503
e587.dat,50.1559
e583.dat,49.9246
e540.dat,49.6954
e656.dat,49.6954
e748.dat,49.6574
e654.dat,49.2060
e657.dat,49.0944
e655.dat,49.0203
e266.dat,48.8360
e584.dat,48.3273
e662.dat,48.2555
e682.dat,48.1125
e603.dat,47.8643
e664.dat,47.7588
e678.dat,47.7588
e838.dat,47.4795
e850.dat,47.0034
e541.dat,46.7280
e604.dat,46.7280
e297.dat,46.5939
e836.dat,44.8253
e694.dat,41.2917
e864.dat,nan
esa40.dat,nan
fg3.dat,369.0449
fx74modsm.dat,84.2932
fx73cl2152.dat,68.8871
fx72150b.dat,67.9013
fx63137sm.dat,66.2223
fx63137.dat,66.0066
fx72150a.dat,63.9981
fx80080.dat,62.8162
fx60100.dat,61.8590
fx60100sm.dat,61.8001
fx601001.dat,61.6242
fx74080.dat,61.5075
fx63100.dat,61.2176
fx69h083.dat,61.1025
fx84w097.dat,60.9305
fg2.dat,60.7027
eh1590.dat,60.0295
fx63110.dat,59.9187
eh2010.dat,59.8635
fxm2.dat,59.6436
fx63120.dat,59.4236
fx69h098.dat,59.3710
fx66h80.dat,59.3572
fx60126.dat,58.6209
fx83w108.dat,58.5680
fx601261.dat,58.3575
eiffel428.dat,57.4796
eh2012.dat,57.3780
fx73cl3152.dat,56.9119
fx76mp120.dat,56.7326
fx61140.dat,56.7266
eiffel430.dat,56.6771
fx082512.dat,56.3819
fx84w127.dat,56.1868
fx68h120.dat,55.8006
eiffel385.dat,55.3253
