Airfoil,Efficiency
goe391.dat,86.4176
goe367.dat,86.2575
goe358.dat,85.9152
goe371.dat,83.5932
goe344.dat,83.1651
goe380.dat,82.9526
goe393.dat,81.0885
goe383.dat,80.7860
goe397.dat,80.6060
goe387.dat,80.0887
goe332.dat,78.7296
goe336.dat,77.4159
goe330.dat,76.9572
goe365.dat,76.8662
goe328.dat,76.5040
goe368.dat,75.5255
goe346.dat,72.0088
goe386.dat,68.8779
goe363.dat,68.1552
goe390.dat,67.3775
goe382.dat,67.1685
goe384.dat,67.0298
goe361.dat,65.8787
goe366.dat,52.1015
goe376.dat,43.6392
goe388.dat,26.1083
goe445.dat,nan
goe447.dat,98.8998
goe188.dat,98.8613
fx80080.dat,98.2318
fx73k170.dat,97.5254
fx84w175.dat,97.2334
e851.dat,97.2297
fx78k140a20.dat,96.7987
goe432.dat,96.5110
fx74130wp2.dat,96.2250
fx78k150.dat,96.0827
goe210.dat,95.7078
fx73cl2152.dat,95.6996
goe143.dat,95.6582
goe438.dat,95.5175
goe228.dat,95.1358
goe441.dat,94.7061
goe426.dat,94.6821
goe415.dat,94.5443
goe431.dat,94.4081
fx79w151a.dat,94.4068
goe277.dat,94.1332
goe115.dat,92.9212
fx73170a.dat,92.7884
goe318.dat,92.6561
goe436.dat,92.5241
goe412.dat,92.1366
goe414.dat,92.1304
geminism.dat,91.8697
fx78k161.dat,91.0966
fxs03182.dat,90.4623
fx78pk188.dat,90.3364
goe427.dat,89.8367
goe421.dat,89.7471
goe217.dat,89.0079
goe405.dat,88.8535
fx77w121.dat,88.7321
fx73170.dat,88.4903
eiffel385.dat,88.4077
goe116.dat,88.0107
goe14k.dat,88.0107
e715.dat,87.1838
eh2012.dat,87.0669
goe195.dat,87.0669
goe285.dat,86.7182
goe290.dat,86.4872
goe425.dat,86.4872
goe117.dat,86.0003
goe256.dat,85.3507
goe177.dat,85.2387
fx75193.dat,85.1270
fx66s161.dat,84.7936
fx69h098.dat,84.7936
goe423.dat,84.4481
goe144.dat,84.3531
goe430.dat,84.2437
goe08k.dat,84.2176
fx84w218.dat,83.9172
goe433.dat,83.9172
goe118.dat,83.7606
goe446.dat,83.4857
goe316.dat,82.9725
e793.dat,82.8468
falcon.dat,82.6360
fx69h083.dat,82.5252
fx73cl3152.dat,82.3488
fx66s171.dat,82.2176
goe303.dat,82.1137
goe155.dat,81.8034
goe240.dat,81.8034
eh1590.dat,81.6555
goe413.dat,81.5979
goe190.dat,81.2915
fx75vg166.dat,81.0885
fauvel.dat,80.9874
goe400.dat,80.9063
goe265.dat,80.8866
goe239.dat,80.6856
fx6617a2.dat,80.5855
fx08s176.dat,80.3860
fxs21158.dat,80.3860
fx6617ai.dat,80.0887
goe323.dat,79.8916
goe424.dat,79.8916
goe113.dat,79.8553
fx77w153.dat,79.7935
goe184.dat,79.4033
goe269.dat,78.8251
e856.dat,78.5392
goe321.dat,78.5392
fx66s196.dat,78.4443
goe311.dat,78.4443
goe238.dat,78.2553
fx082512.dat,78.1106
goe122.dat,78.0424
goe300.dat,77.7867
goe304.dat,77.7867
goe100.dat,77.7475
goe420.dat,77.6937
fx60157.dat,77.6008
fx66196v.dat,77.4159
goe164.dat,77.3863
fx68h120.dat,77.2318
goe264.dat,77.2318
goe15k.dat,77.1400
goe401.dat,77.1400
fx66182.dat,76.9720
goe301.dat,76.9572
eh2070.dat,76.6056
fx66a175.dat,76.5040
goe174.dat,76.5040
goe289.dat,76.5040
goe282.dat,76.4951
goe407.dat,76.3242
giiin.dat,76.1453
goe308.dat,76.1453
fx057816.dat,76.0561
goe288.dat,76.0561
fx74cl6140.dat,75.7792
goe418.dat,75.5255
goe255.dat,75.0889
giiim.dat,75.0022
goe178.dat,74.8928
goe322.dat,74.5716
goe434.dat,74.5716
goe314.dat,74.1460
goe279.dat,73.9771
goe121.dat,73.7252
goe223.dat,73.7252
goe165.dat,73.3920
e850.dat,73.1995
giiil.dat,72.8160
goe422.dat,72.8160
goe182.dat,72.4910
e748.dat,72.3295
goe147.dat,71.8495
goe276.dat,71.8495
e838.dat,71.7872
eiffel371.dat,71.6908
fx73cl1152.dat,71.5329
giiik.dat,71.5329
e857.dat,71.3757
goe167.dat,71.2835
goe416a.dat,71.2192
goe140.dat,71.1412
goe176.dat,71.1412
goe286.dat,70.8309
giiij.dat,70.6767
goe315.dat,70.4468
goe325.dat,70.0553
goe29b.dat,69.9913
