Airfoil,Efficiency
fx63110.dat,143.9406
fx61168.dat,143.4564
fx63137.dat,143.4496
fx63100.dat,139.0534
fx05188.dat,136.4856
fx08s176.dat,136.1531
fx61147.dat,135.9984
fx049915.dat,134.1389
e853.dat,132.7287
fx66s161.dat,128.9235
fx61140.dat,128.3818
fx2.dat,126.7388
fx05h126.dat,126.6270
fx05191.dat,125.9605
fx66s171.dat,125.8524
fx60100sm.dat,122.3301
fx66196v.dat,121.8479
fx66182.dat,121.8029
fg3.dat,120.4167
e856.dat,120.2770
e855.dat,118.9427
eiffel385.dat,118.4762
fx057816.dat,118.3447
fx60126.dat,117.3449
fx6617ai.dat,117.3356
fx66a175.dat,117.2602
e852.dat,116.3314
fx6617a2.dat,115.1888
fx601001.dat,114.5524
fx60160.dat,113.5588
fx60100.dat,108.4677
fx601261.dat,106.7695
e857.dat,106.3736
fg2.dat,106.1124
fx66s196.dat,104.7366
e851.dat,96.6712
e908.dat,95.1645
fx63158.dat,93.8657
fx60177.dat,92.3373
e858.dat,88.9131
fx082512.dat,88.7394
fx66h80.dat,88.3335
fx63145.dat,87.4166
fx69h098.dat,85.7551
eiffel428.dat,85.3235
fx68h120.dat,83.4469
fx69h083.dat,81.5255
eh2010.dat,81.0907
falcon.dat,79.9135
eiffel430.dat,79.7322
fx60157.dat,79.6341
eh1590.dat,78.4866
eiffel371.dat,77.1783
eh2070.dat,73.0597
eh2012.dat,72.5338
fg4.dat,71.4736
fx69pr281.dat,69.5929
eh1090.dat,68.6505
e850.dat,66.6969
fx66h60.dat,65.9224
e838.dat,63.9676
fx63143.dat,63.7779
fx38153.dat,62.1494
e837.dat,62.0002
eh2510.dat,59.0889
fauvel.dat,56.2860
eh1070.dat,54.6161
eh3012.dat,53.8556
eh0009.dat,51.5600
e874.dat,48.7662
fx71089a.dat,48.2135
ea81006.dat,46.1720
e862.dat,42.7315
e836.dat,42.0324
fx71120.dat,41.2162
ea61012.dat,39.9681
ea61009.dat,39.2197
fx711520.dat,37.7593
e863.dat,37.3892
fx711530.dat,33.4614
fx71l150.dat,33.4614
fx711525.dat,31.2570
e864.dat,28.4095
fx76mp120.dat,235.4131
fx76mp140.dat,216.3108
fx72ls160.dat,215.9706
fx74modsm.dat,213.9183
fx74080.dat,172.3778
fx74130wp2.dat,172.2176
fx73cl2152.dat,168.1205
fx76mp160.dat,164.1340
fx73170.dat,162.4625
fx73k170.dat,160.0828
fx78k140.dat,159.5044
fx74130wp1.dat,157.6708
fx74cl6140.dat,155.4403
fx83w108.dat,154.2752
fx84w140.dat,153.0618
fx73170a.dat,148.6086
fx84w150.dat,147.8596
fx74130wp2mod.dat,147.6739
fx73cl3152.dat,146.9087
fx84w127.dat,145.5511
fx73cl1152.dat,145.0649
fx84w175.dat,140.1796
fx75141.dat,139.4406
fx78k140a20.dat,137.0221
fx75193.dat,134.4426
fx83w160.dat,131.5077
fx79w151a.dat,130.6020
fx78k150.dat,130.2834
fx77w121.dat,124.3019
fx84w097.dat,114.4640
fx78pk188.dat,112.8292
fx77w153.dat,106.3941
fx75vg166.dat,103.0688
fx79k144.dat,102.9650
fx77w258.dat,97.0577
fx80080.dat,92.2752
fx78k161.dat,88.8184
fx77w270.dat,87.2242
fx77w343.dat,83.3213
fx77w270s.dat,71.9537
fx83w227.dat,58.4079
fx77080.dat,57.8873
fx76100.dat,53.8995
fx79l120.dat,42.9368
fx79l100.dat,34.5076
fx79w660a.dat,2.5424
goe287.dat,1039.4482
goe278.dat,1007.8812
goe275.dat,892.6689
goe324.dat,765.9098
goe315.dat,668.2162
goe366.dat,630.2494
goe364.dat,616.2198
goe329.dat,578.8208
goe331.dat,540.8703
goe242.dat,195.1567
goe233.dat,183.5832
goe227.dat,181.5195
goe225.dat,177.0711
goe234.dat,176.7830
goe395.dat,172.1058
goe239.dat,168.4767
goe332.dat,167.2164
goe226.dat,165.4236
goe301.dat,162.7323
goe217.dat,158.8634
goe304.dat,158.6328
goe241.dat,157.8611
goe243.dat,152.7147
goe311.dat,147.4843
goe228.dat,145.7277
goe330.dat,142.8410
goe264.dat,141.4312
goe173.dat,141.0494
goe265.dat,140.8041
goe269.dat,138.0982
