Airfoil,Efficiency
fx6617a2.dat,60.6338
fx66196v.dat,58.8264
fx60177.dat,56.8719
fx05188.dat,55.7614
fx67k150.dat,55.2702
fx05h126.dat,54.1080
fx66s196.dat,52.1921
fx66h80.dat,46.8013
fx05191.dat,44.7765
fx66h60.dat,43.7828
falcon.dat,43.1293
fx38153.dat,41.1448
fauvel.dat,37.5731
fx2.dat,20.4705
fg4.dat,14.5815
giiia.dat,nan
goe397.dat,612.2907
goe319.dat,310.5230
goe164.dat,109.4630
goe16k.dat,nan
goe361.dat,582.6643
goe376.dat,514.9684
goe233.dat,118.1380
goe234.dat,112.2157
goe395.dat,110.5276
goe242.dat,107.4673
goe265.dat,106.1553
goe225.dat,105.5155
goe358.dat,103.3236
goe301.dat,102.0918
goe173.dat,101.9662
goe239.dat,101.8574
goe217.dat,101.2791
goe226.dat,100.0557
goe304.dat,100.0468
goe195.dat,99.4741
goe227.dat,99.3818
goe394.dat,99.3421
goe264.dat,99.0785
goe124.dat,99.0667
goe362.dat,98.5673
gm15sm.dat,98.5521
goe300.dat,97.8917
goe198.dat,97.8352
goe174.dat,96.7836
goe29b.dat,96.5881
goe165.dat,95.8746
goe441.dat,95.7103
goe303.dat,95.3043
goe402.dat,95.2224
goe359.dat,95.0775
goe369.dat,94.8073
goe279.dat,94.3754
goe176.dat,94.3669
goe430.dat,94.2065
goe184.dat,94.1945
goe240.dat,93.9720
goe269.dat,93.9055
goe332.dat,93.9042
goe282.dat,93.8855
goe431.dat,93.8187
goe182.dat,93.0241
goe329.dat,92.8391
goe140.dat,92.8216
goe439.dat,92.7770
goe428.dat,92.7642
goe190.dat,92.6681
goe210.dat,92.2012
goe121.dat,91.6676
goe363.dat,91.2146
goe14.dat,90.9360
goe155.dat,90.6438
goe330.dat,90.5242
goe437.dat,90.4401
goe427.dat,90.0383
goe335.dat,90.0092
goe380.dat,89.6633
goe371.dat,89.1737
goe144.dat,89.1290
goe276.dat,88.8072
goe187.dat,88.6475
fx73cl3152.dat,88.5362
goe180.dat,88.4249
goe133.dat,88.3070
goe400.dat,88.2515
goe325.dat,88.1474
goe364.dat,88.0056
goe311.dat,87.5330
goe326.dat,87.3733
goe278.dat,87.3473
goe277.dat,87.2771
goe178.dat,86.7447
goe320.dat,86.6279
goe432.dat,86.3002
goe442.dat,85.7816
goe370.dat,85.5452
goe137.dat,85.3937
fx73cl1152.dat,85.1952
goe243.dat,85.1457
goe440.dat,84.5053
goe142.dat,84.4080
goe396.dat,84.3760
goe379.dat,84.1746
goe241.dat,83.9547
goe177.dat,83.9497
goe288.dat,83.5298
goe143.dat,83.3278
goe433.dat,83.3145
goe322.dat,83.2371
goe101.dat,83.1488
goe287.dat,82.8919
goe228.dat,82.7455
goe401.dat,82.6164
goe118.dat,82.4955
goe399.dat,82.3228
goe346.dat,82.2966
goe328.dat,82.1669
goe167.dat,81.8643
goe389.dat,81.3938
goe122.dat,81.3244
goe321.dat,81.2614
goe314.dat,80.6061
fx72150a.dat,80.5350
goe298.dat,80.4079
goe413.dat,80.1618
goe244.dat,80.1391
goe385.dat,80.1126
goe405.dat,79.8683
goe238.dat,79.4999
goe415.dat,79.1369
goe324.dat,79.0219
goe147.dat,78.8483
goe426.dat,78.8170
goe404.dat,78.7907
goe368.dat,78.6695
goe117.dat,78.5998
goe257.dat,78.1962
goe336.dat,78.1920
goe316.dat,77.9878
goe418.dat,77.9712
goe323.dat,77.9055
goe412.dat,77.6834
goe393.dat,77.4822
goe414.dat,77.4201
fxs21158.dat,77.1973
goe223.dat,76.8959
goe286.dat,76.8944
goe377.dat,76.8686
goe365.dat,76.2747
goe308.dat,76.1547
fx76mp120.dat,76.1114
goe309.dat,74.2448
goe318.dat,74.1828
goe315.dat,73.9718
fx72150b.dat,73.9611
fx75141.dat,73.7970
goe438.dat,71.9061
goe285.dat,71.8870
goe436.dat,71.7240
goe115.dat,71.2590
fx84w127.dat,71.2489
goe425.dat,70.6151
fx84w140.dat,70.6013
fx74130wp2mod.dat,70.5761
goe392.dat,70.0098
goe284.dat,69.7358
goe222.dat,69.3558
fx74080.dat,69.1775
goe407.dat,68.2602
goe403.dat,68.1146
goe116.dat,67.7688
fx74130wp2.dat,67.4100
goe235.dat,67.3603
fx84w150.dat,67.0947
goe344.dat,66.9390
fx80080.dat,66.7926
fx84w097.dat,66.7788
goe422.dat,66.7483
goe310.dat,66.5437
goe408.dat,66.1466
goe290.dat,66.0562
goe372.dat,65.9704
goe113.dat,65.8016
goe255.dat,65.3858
fx74130wp1.dat,64.9747
goe398.dat,64.4770
goe100.dat,64.1545
goe434.dat,63.7841
goe387.dat,62.1174
goe419.dat,60.4725
goe423.dat,60.4350
goe331.dat,60.4207
fx79k144.dat,59.9424
fx76mp140.dat,59.6956
fx69h083.dat,59.6253
goe367.dat,59.4009
goe416a.dat,59.2812
goe386.dat,58.4843
goe229.dat,58.3876
goe256.dat,58.3136
fx77w153.dat,57.4419
glennmartin2.dat,57.4377
fxs02196.dat,57.4221
fx77w121.dat,57.1410
goe289.dat,56.4787
fx83w160.dat,56.3622
goe11k.dat,56.1458
goe406.dat,56.1405
fx77w270.dat,55.8938
giiin.dat,55.6940
fx76mp160.dat,55.5981
giiim.dat,55.4353
fx77w258.dat,54.3918
goe424.dat,54.2892
goe383.dat,54.1941
goe382.dat,54.1574
goe384.dat,53.8828
giiil.dat,53.8819
goe15.dat,53.7987
fx69h098.dat,53.3485
goe390.dat,53.2778
fxs03182.dat,53.1184
giiik.dat,53.0616
goe06k.dat,53.0470
fx72ls160.dat,52.9234
giiij.dat,51.8342
